country,region
Austria,Western Europe
Belgium,Western Europe
Bulgaria,Eastern Europe
Czech Republic,Eastern Europe
Cyprus,Southern Europe
Denmark,Northern Europe
Estonia,Northern Europe
Finland,Northern Europe
France,Western Europe
Germany,Western Europe
Greece,Southern Europe
Hungary,Eastern Europe
Ireland,Western Europe
Italy,Southern Europe
Latvia,Northern Europe
Lithuania,Northern Europe
Luxembourg,Western Europe
Malta,Southern Europe
Netherlands,Western Europe
Norway,Northern Europe
Poland,Eastern Europe
Portugal,Southern Europe
Romania,Eastern Europe
Slovakia,Eastern Europe
Slovenia,Eastern Europe
Spain,Southern Europe
Sweden,Northern Europe
United Kingdom,Western Europe
