,GEO,region,agg_aver_population_12-16,aggregated_applications_12-16,aggregated_alldecisions_12-16,difference_applications_decisions,aggregated_positive_decisions_12-16,aggregated_negative_decisions_12-16,share_neg_total,share_pos_total,aggregated_refused_entry_12-16,aggregated_ordered_to_leave_12-16,aggregated_returned_to_3rdcountry_12-16,aggregated_persons_found_illegal_12-16
0,Belgium,Western Europe,11197144.6,98015.0,111020.0,-13005.0,45415.0,65600.0,59.0884525310755,40.90704377589624,8630.0,197665.0,32210.0,81295.0
1,Bulgaria,Eastern Europe,7242687.0,58170.0,20105.0,38065.0,16575.0,3535.0,17.582690872917183,82.44217856254663,12510.0,55110.0,4355.0,55115.0
2,Czech Republic,Eastern Europe,10525221.4,4375.0,5305.0,-930.0,1790.0,3515.0,66.25824693685203,33.74175306314797,1660.0,15510.0,1785.0,24490.0
3,Denmark,Northern Europe,5635469.0,54795.0,42480.0,12315.0,27035.0,15445.0,36.35828625235405,63.64171374764596,565.0,16285.0,5495.0,5095.0
4,Germany (until 1990 former territory of the FRG),Western Europe,80998466.0,1511455.0,1113070.0,398385.0,652650.0,460425.0,41.36532293566442,58.63512627238179,18715.0,203720.0,174805.0,1026400.0
5,Estonia,Northern Europe,1318404.8,690.0,535.0,155.0,250.0,285.0,53.27102803738318,46.72897196261682,5850.0,2750.0,1310.0,4180.0
6,Ireland,Western Europe,4626592.8,8825.0,5970.0,2855.0,1465.0,4505.0,75.46063651591291,24.5393634840871,14015.0,7410.0,2110.0,9030.0
7,Greece,Southern Europe,10931718.8,86270.0,58680.0,27590.0,9310.0,49360.0,84.11724608043627,15.865712338104975,47250.0,339890.0,102615.0,
8,Spain,Southern Europe,46590740.2,42285.0,22105.0,20180.0,10520.0,11575.0,52.36371861569781,47.591042750508926,925270.0,197285.0,69680.0,226465.0
9,France,Western Europe,66013512.4,320960.0,355440.0,-34480.0,83550.0,271890.0,76.49392302498313,23.50607697501688,113555.0,410395.0,64555.0,396805.0
10,Italy,Southern Europe,60264653.0,310990.0,247255.0,63735.0,122020.0,125235.0,50.65013852096014,49.34986147903986,38865.0,138260.0,28920.0,138260.0
11,Cyprus,Southern Europe,856243.2,9165.0,7480.0,1685.0,4150.0,3330.0,44.51871657754009,55.481283422459896,2380.0,14590.0,14145.0,27500.0
12,Latvia,Northern Europe,2005031.8,1415.0,765.0,650.0,230.0,525.0,68.62745098039215,30.065359477124186,7595.0,8345.0,8070.0,2135.0
13,Lithuania,Northern Europe,2945767.6,1885.0,1210.0,675.0,460.0,745.0,61.57024793388429,38.016528925619845,16585.0,9535.0,8635.0,10415.0
14,Luxembourg,Western Europe,550155.8,8445.0,5815.0,2630.0,1240.0,4570.0,78.58985382631127,21.324161650902838,25.0,5090.0,2335.0,1380.0
15,Hungary,Eastern Europe,9880828.8,264592.0,19615.0,244977.0,2155.0,17460.0,89.01351006882489,10.986489931175122,55030.0,41790.0,17880.0,536460.0
16,Malta,Southern Europe,425608.2,8970.0,8155.0,815.0,6740.0,1415.0,17.351318209687307,82.6486817903127,1555.0,6670.0,2410.0,6705.0
17,Netherlands,Western Europe,16843811.6,103635.0,94035.0,9600.0,61285.0,32750.0,34.82745786143457,65.17254213856543,11810.0,150150.0,44420.0,
18,Austria,Western Europe,8526641.4,186041.0,105465.0,80576.0,61970.0,43495.0,41.24117005641682,58.75882994358318,2080.0,,,218180.0
19,Poland,Eastern Europe,38023401.2,48800.0,14080.0,34720.0,2870.0,11205.0,79.5809659090909,20.383522727272727,154945.0,61015.0,55345.0,69680.0
20,Portugal,Southern Europe,10434628.0,2820.0,1730.0,1090.0,860.0,870.0,50.289017341040456,49.710982658959544,5940.0,29140.0,2460.0,30440.0
21,Romania,Eastern Europe,19938868.4,8405.0,7260.0,1145.0,3170.0,4085.0,56.267217630854,43.66391184573003,20995.0,11290.0,11070.0,11320.0
22,Slovenia,Southern Europe,2060492.8,2380.0,905.0,1475.0,330.0,575.0,63.53591160220995,36.464088397790064,25720.0,6520.0,2120.0,7120.0
23,Slovakia,Eastern Europe,5415741.6,1440.0,1290.0,150.0,720.0,585.0,45.34883720930232,55.8139534883721,2700.0,5270.0,3700.0,7595.0
24,Finland,Northern Europe,5447654.4,46855.0,32400.0,14455.0,13225.0,19185.0,59.21296296296297,40.8179012345679,6985.0,34870.0,16770.0,26330.0
25,Sweden,Northern Europe,9656396.8,351950.0,257005.0,94945.0,165630.0,91380.0,35.555728487772605,64.44621699966929,1870.0,84615.0,47410.0,123095.0
26,United Kingdom,Western Europe,64401895.2,168550.0,139905.0,28645.0,50415.0,89490.0,63.96483327972553,36.03516672027447,74700.0,302060.0,210720.0,302060.0
27,Norway,Northern Europe,5104465.8,65535.0,59065.0,6470.0,34890.0,24175.0,40.929484466265976,59.070515533734024,1650.0,,,20445.0
